ListNum,WordToDisplay,WavFileNameSansExtension
1,lease ,lease 
1,knees ,knees 
1,tea ,tea 
1,free ,free 
1,bee ,bee 
1,trees ,trees 
1,flee ,flee 
1,need ,need 
1,peace ,peace 
1,three ,three 
1,key ,key 
1,freeze ,freeze 
2,lamb ,lamb 
2,glad ,glad 
2,slam ,slam 
2,swam ,swam 
2,bad ,bad 
2,cab ,cab 
2,track ,track 
2,dad ,dad 
2,trap ,trap 
2,grab ,grab 
2,black ,black 
2,lap ,lap 
3,chair ,chair 
3,spare ,spare 
3,space ,space 
3,chase ,chase 
3,change ,change 
3,pair ,pair 
3,park ,park 
3,part ,part 
3,mark ,mark 
3,spark ,spark 
3,chart ,chart 
3,share ,share 
4,fact ,fact 
4,pad ,pad 
4,beg ,beg 
4,bat ,bat 
4,bag ,bag 
4,bet ,bet 
4,mad ,mad 
4,back ,back 
4,pact ,pact 
4,pack ,pack 
4,pass ,pass 
4,pet ,pet 
5,slide ,slide 
5,buy ,buy 
5,hide ,hide 
5,thigh ,thigh 
5,high ,high 
5,side ,side 
5,bite ,bite 
5,sky ,sky 
5,pine ,pine 
5,sigh ,sigh 
5,sign ,sign 
5,guide ,guide 
6,grim ,grim 
6,twist ,twist 
6,risk ,risk 
6,rib ,rib 
6,rip ,rip 
6,twin ,twin 
6,trip ,trip 
6,grip ,grip 
6,grin ,grin 
6,wrist ,wrist 
6,chip ,chip 
6,chin ,chin 
7,feed ,feed 
7,feet ,feet 
7,feel ,feel 
7,film ,film 
7,field ,field 
7,beef ,beef 
7,fill ,fill 
7,bill ,bill 
7,leaf ,leaf 
7,drill ,drill 
7,pill ,pill 
7,still ,still 
8,patch ,patch 
8,path ,path 
8,bath ,bath 
8,bunch ,bunch 
8,bench ,bench 
8,fetch ,fetch 
8,lunch ,lunch 
8,catch ,catch 
8,match ,match 
8,sketch ,sketch 
8,snatch ,snatch 
8,stretch ,stretch 
9,send ,send 
9,damp ,damp 
9,lack ,lack 
9,bank ,bank 
9,stamp ,stamp 
9,lamp ,lamp 
9,land ,land 
9,band ,band 
9,bend ,bend 
9,lend ,lend 
9,dance ,dance 
9,grand ,grand 
10,sweep,sweep
10,sweet ,sweet 
10,sleep ,sleep 
10,steep ,steep 
10,bid ,bid 
10,bin ,bin 
10,lid ,lid 
10,lit ,lit 
10,neat ,neat 
10,slip ,slip 
10,knit ,knit 
10,big ,big 
11,pit ,pit 
11,dig ,dig 
11,stiff ,stiff 
11,pig ,pig 
11,stick ,stick 
11,sit ,sit 
11,quit ,quit 
11,pick ,pick 
11,sniff ,sniff 
11,pitch ,pitch 
11,quick ,quick 
11,pin ,pin 
12,boat ,boat 
12,coat ,coat 
12,cope ,cope 
12,goat ,goat 
12,hope ,hope 
12,rope ,rope 
12,code ,code 
12,toast ,toast 
12,ghost ,ghost 
12,top ,top 
12,pop ,pop 
12,hop ,hop 
13,mix ,mix 
13,tip ,tip 
13,thick ,thick 
13,miss ,miss 
13,sick ,sick 
13,six ,six 
13,trick ,trick 
13,fix ,fix 
13,kick ,kick 
13,kit ,kit 
13,dip ,dip 
13,kiss ,kiss 
14,size ,size 
14,prize ,prize 
14,site ,site 
14,keep ,keep 
14,seek ,seek 
14,deed ,deed 
14,seat ,seat 
14,heap ,heap 
14,meet ,meet 
14,cheek ,cheek 
14,deep ,deep 
14,cheap ,cheap 
15,mail ,mail 
15,face ,face 
15,main ,main 
15,lace ,lace 
15,nail ,nail 
15,trail ,trail 
15,pale ,pale 
15,name ,name 
15,lane ,lane 
15,late ,late 
15,pay ,pay 
15,ace ,ace 
16,fate ,fate 
16,tile ,tile 
16,bit ,bit 
16,fight ,fight 
16,fade ,fade 
16,file ,file 
16,faith ,faith 
16,mate ,mate 
16,made ,made 
16,blade ,blade 
16,fail ,fail 
16,fit ,fit 
17,lump ,lump 
17,crowd ,crowd 
17,crown ,crown 
17,cloud ,cloud 
17,proud ,proud 
17,loud ,loud 
17,pump ,pump 
17,dump ,dump 
17,duck ,duck 
17,down ,down 
17,brown,brown
17,doubt ,doubt 
18,tight ,tight 
18,pie ,pie 
18,white ,white 
18,wide ,wide 
18,light ,light 
18,sight ,sight 
18,ride ,ride 
18,tide ,tide 
18,pipe ,pipe 
18,life ,life 
18,wife ,wife 
18,write ,write 
19,spill ,spill 
19,spin ,spin 
19,wit ,wit 
19,wing ,wing 
19,hit ,hit 
19,sink ,sink 
19,skill ,skill 
19,win ,win 
19,swing ,swing 
19,hill ,hill 
19,skin ,skin 
19,pink ,pink 
20,bound,bound
20,mouth,mouth
20,hall ,hall 
20,sound ,sound 
20,small ,small 
20,south ,south 
20,mile ,mile 
20,mild ,mild 
20,round ,round 
20,pound,pound
20,smile ,smile 
20,mind,mind
21,cold ,cold 
21,rule ,rule 
21,road ,road 
21,rude ,rude 
21,role ,role 
21,home ,home 
21,nose ,nose 
21,hole ,hole 
21,rose ,rose 
21,crude ,crude 
21,hold ,hold 
21,crew ,crew 
22,hair ,hair 
22,shell ,shell 
22,hate ,hate 
22,rate ,rate 
22,rail ,rail 
22,rare ,rare 
22,help ,help 
22,sell ,sell 
22,swell ,swell 
22,swear ,swear 
22,spell ,spell 
